Date,IBM,AAPL,MSFT,INTC,HPQ
1996-03-06,21.903018,0.856261,4.14426,4.636839,6.127682
1996-03-07,21.926419,0.844,4.15761,4.625951,6.127682
1996-03-08,21.388204,0.850131,4.06415,4.658608,5.939012
1996-03-11,21.94982,0.846044,4.122898,4.810992,6.242525
1996-03-12,21.388204,0.844,4.090858,4.778342,6.152291
1996-03-13,21.692412,0.841956,4.309818,4.887181,6.217916
1996-03-14,21.879618,0.837869,4.25641,4.887181,6.275337
1996-03-15,22.441234,0.846044,4.373905,5.126649,6.554241
1996-03-18,23.330459,0.854218,4.496732,5.181069,6.772882
1996-03-19,22.792243,0.841956,4.566164,5.115761,6.657809
1996-03-20,21.903018,0.825608,4.470031,4.832761,6.419442
1996-03-21,21.505207,0.821521,4.30448,4.865419,6.230394
1996-03-22,21.388204,0.829695,4.320496,4.887181,6.378345
1996-03-25,20.358575,0.784736,4.267094,4.7797,6.197516
1996-03-26,20.732985,0.780649,4.389928,4.887181,6.156418
1996-03-27,20.826588,0.825608,4.379244,4.93072,6.172857
1996-03-28,20.54578,0.790867,4.368559,4.908957,6.139979
1996-03-29,20.826588,0.803128,4.405945,4.952495,6.189296
1996-04-01,20.662783,0.833782,4.389928,4.974258,6.329028
1996-04-02,22.020022,0.817433,4.470031,4.952495,6.304369
1996-04-03,22.417833,0.803128,4.464692,5.017796,6.337247
1996-04-04,22.043422,0.788823,4.459354,5.159299,6.337247
1996-04-08,22.347631,0.796998,4.432652,5.279027,6.411223
1996-04-09,22.066823,0.850131,4.341858,5.387879,6.370125
1996-04-10,21.715813,0.850131,4.341858,5.376991,6.427662
1996-04-11,21.996621,0.841956,4.320496,5.262705,6.337247
1996-04-12,20.873389,0.833782,4.320496,5.19195,6.271491
1996-04-15,21.364803,0.841956,4.422638,5.279027,6.411223
1996-04-16,21.62221,0.846044,4.496732,5.64911,6.542736
1996-04-17,19.703356,0.825608,4.526106,5.589243,6.46876
1996-04-18,19.750158,0.809259,4.656952,5.725298,6.567394
1996-04-19,19.726757,0.819477,4.688998,5.68176,6.550955
1996-04-22,20.077767,0.821521,4.817171,5.899452,6.657809
1996-04-23,20.030965,0.809259,4.811826,5.930744,6.781101
1996-04-24,19.984164,0.79291,4.763763,6.117144,6.97837
1996-04-25,20.264972,0.813346,4.817171,6.062718,7.233175
1996-04-26,20.171369,0.809259,4.849211,6.030067,7.208516
1996-04-29,20.335174,0.809259,4.811826,5.935531,7.052346
1996-04-30,20.171369,0.796998,4.838527,5.902861,6.961931
1996-05-01,20.19477,0.796998,4.918637,5.913756,6.929053
1996-05-02,20.19477,0.776562,4.769102,5.924643,6.855077
1996-05-03,20.241571,0.780649,4.737062,5.984545,6.740004
1996-05-06,20.030965,0.837869,4.774447,5.989988,7.003029
1996-05-07,19.82036,0.878741,4.833188,5.913756,6.838638
1996-05-08,19.886099,0.874654,4.881251,5.989988,6.822199
1996-05-09,20.097404,0.854218,4.849211,5.979094,6.855077
1996-05-10,19.980012,0.891002,4.907959,6.022658,7.134541
1996-05-13,20.214795,0.884872,5.068172,6.25137,7.389346
1996-05-14,20.402621,0.899177,5.084195,6.349391,7.422224
1996-05-15,20.473056,0.931874,5.025448,6.305828,7.479761
1996-05-16,20.402621,0.927787,5.004086,6.262264,6.920833
1996-05-17,20.82523,0.903264,4.998747,6.196912,7.192077
1996-05-20,21.060013,0.913482,4.988069,6.186024,7.224955
1996-05-21,20.848708,0.886915,4.918637,6.120679,7.134541
